SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG028-17,AUTOMACAO EM SISTEMAS DE MANUFATURA,2-2-0-4,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,SISTEMAS CAD/CAE,SISTEMAS CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA004-13,AVALIACAO DE DESEMPENHO DE REDES,3-1-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,REDES DE COMPUTADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU025-17,AVALIACAO DE IMPACTOS AMBIENTAIS,2-2-0-4,BQ - BACHARELADO EM QUIMICA (OL),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,REGULACAO AMBIENTAL E URBANISTICA,CARTOGRAFIA E GEOPROCESSAMENTO,SAUDE AMBIENTAL,BIOMAS BRASILEIROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHP031-14,AVALIACAO E MONITORAMENTO DE POLITICAS PUBLICAS,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,METODOS DE PESQUISA EM POLITICAS PUBLICAS,METODOS QUANTITATIVOS PARA CIENCIAS SOCIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4072-15,AVALIACAO NO ENSINO DE QUIMICA,3-0-0-4,LQ - LICENCIATURA EM QUIMICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,PRATICAS DE ENSINO DE QUIMICA III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS004-17,AVIONICA,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,CIRCUITOS ELETRICOS E FOTONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA037-17,BANCO DE DADOS,3-1-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),EINF - ENGENHARIA DE INFORMACAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA005-17,BANCO DE DADOS DE APOIO A TOMADA DE DECISAO,3-1-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,BANCO DE DADOS,INTELIGENCIA ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCS0001-15,BASE EXPERIMENTAL DAS CIENCIAS NATURAIS,0-3-0-2,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB002-17,BASES BIOLOGICAS PARA ENGENHARIA I,3-2-0-5,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB004-17,BASES BIOLOGICAS PARA ENGENHARIA II,3-2-0-5,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,BASES BIOLOGICAS PARA ENGENHARIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS0005-15,BASES COMPUTACIONAIS DA CIENCIA,0-2-0-2,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIJ0207-15,BASES CONCEITUAIS DA ENERGIA,2-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIR0004-15,BASES EPISTEMOLOGICAS DA CIENCIA MODERNA,3-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS0003-15,BASES MATEMATICAS,4-0-0-5,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZC002-15,BASES NEURAIS DA MOTRICIDADE,4-0-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,INTRODUCAO A NEUROCIENCIA,FUNDAMENTOS DE MORFOFISIOLOGIA HUMANA,NEUROANATOMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4060-15,BIOCOMBUSTIVEIS E BIORREFINARIAS,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),,,,,,,,,,,,,,,,TRANSFORMACOES QUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT026-21,"BIODIVERSIDADE, GEODIVERSIDADE E PAISAGEM",3-0-0-4,BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL0306-15,BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE,3-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB019-17,BIOESTATISTICA,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,COMPUTACAO CIENTIFICA APLICADA A PROBLEMAS BIOLOGICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1002-15,BIOETICA,2-0-0-2,BN - BACHARELADO EM NEUROCIENCIA (OBR),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1003-15,BIOFISICA,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),EBIO - ENGENHARIA BIOMEDICA (OL),BN - BACHARELADO EM NEUROCIENCIA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",BIOLOGIA MOLECULAR E BIOTECNOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTC025-20,BIOFISICA DE MEMBRANAS,6-0-0-6,BN - BACHARELADO EM NEUROCIENCIA (OBR),,,,,,,,,,,,,,,,INTRODUCAO A NEUROCIENCIA,FUNDAMENTOS DE MORFOFISIOLOGIA HUMANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB032-17,BIOIMPEDANCIA APLICADA,2-0-0-2,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,CIRCUITOS ELETRICOS I,METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1053-15,BIOLOGIA CELULAR,4-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),BN - BACHARELADO EM NEUROCIENCIA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1008-15,BIOLOGIA DO DESENVOLVIMENTO EM VERTEBRADOS,2-2-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1009-15,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,3-0-0-3,BQ - BACHARELADO EM QUIMICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,BIOLOGIA CELULAR,HISTOLOGIA E EMBRIOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1076-15,BIOLOGIA REPRODUTIVA DE PLANTAS,2-2-0-2,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,,EVOLUCAO E DIVERSIDADE DE PLANTAS I,EVOLUCAO E DIVERSIDADE DE PLANTAS II,FISIOLOGIA VEGETAL I,FISIOLOGIA VEGETAL II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6009-18,BIOLOGIA SINTETICA,2-0-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,"BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU023-17,BIOMAS BRASILEIROS,2-1-0-3,EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM032-17,BIOMATERIAIS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB007-17,BIOMECANICA I,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,MECANICA DOS SOLIDOS I,COMPUTACAO CIENTIFICA APLICADA A PROBLEMAS BIOLOGICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB027-17,BIOMECANICA II,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,BIOMECANICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1077-15,BIOQUIMICA CLINICA,4-2-0-4,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,,BIOQUIMICA FUNCIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4002-13,BIOQUIMICA EXPERIMENTAL,2-4-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1013-15,BIOQUIMICA FUNCIONAL,4-2-0-4,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,TRANSFORMACOES QUIMICAS,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL0308-15,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",3-2-0-6,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,ESTRUTURA DA MATERIA,TRANSFORMACOES QUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB013-17,BIOSSEGURANCA,4-0-0-3,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6015-18,BIOTECNOLOGIA AMBIENTAL E AGROINDUSTRIAL,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,"BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6013-18,BIOTECNOLOGIA ANIMAL,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),,,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1078-15,BIOTECNOLOGIA DE PLANTAS,0-4-0-2,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,GENETICA II,FISIOLOGIA VEGETAL I,FISIOLOGIA VEGETAL II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6011-18,BIOTECNOLOGIA HUMANA,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),,,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,BIOLOGIA CELULAR,IMUNOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM036-17,BLENDAS POLIMERICAS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS POLIMERICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE089-17,BOMBAS HIDRAULICAS,0-4-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1014-15,BOTANICA ECONOMICA,2-2-0-2,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,,BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE,EVOLUCAO E DIVERSIDADE DE PLANTAS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0005-19,BRASIL INDEPENDENTE,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6016-18,BROMATOLOGIA E ANALISE DE ALIMENTOS,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,,,TRANSFORMACOES BIOQUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB008-17,CALCULO DE PROBABILIDADE,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,FUNCOES DE VARIAS VARIAVEIS,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB009-17,CALCULO NUMERICO,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),BM - BACHARELADO EM MATEMATICA (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),EAER - ENGENHARIA AEROESPACIAL (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),EINF - ENGENHARIA DE INFORMACAO (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB010-13,CALCULO VETORIAL E TENSORIAL,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),EGES - ENGENHARIA DE GESTAO (OL),EBIO - ENGENHARIA BIOMEDICA (OL),EENE - ENGENHARIA DE ENERGIA (OBR),BM - BACHARELADO EM MATEMATICA (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),EAER - ENGENHARIA AEROESPACIAL (OBR),EINF - ENGENHARIA DE INFORMACAO (OL),EAU - ENGENHARIA AMBIENTAL E URBANA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",LM - LICENCIATURA EM MATEMATICA (OL),,,,,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC025-17,CAPITALISMO CONTEMPORANEO,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,PENSAMENTO ECONOMICO,HISTORIA ECONOMICA GERAL,ECONOMIA POLITICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZR024-21,"CAPITALISMO, IMPERIALISMO E DEPENDENCIA",4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB024-17,CARACTERIZACAO BIOLOGICA DE DISPOSITIVOS MEDICOS,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,BIOSSEGURANCA,CIENCIA DOS MATERIAIS BIOCOMPATIVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB002-17,CARACTERIZACAO DE BIOMATERIAIS,2-3-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS BIOCOMPATIVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM014-17,CARACTERIZACAO DE MATERIAIS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,,PROPRIEDADES MECANICAS E TERMICAS,"PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU026-17,CARACTERIZACAO DE MATRIZES AMBIENTAIS,1-2-0-4,EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU004-17,CARTOGRAFIA E GEOPROCESSAMENTO,1-3-0-3,EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT002-17,CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL,2-3-0-3,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0006-19,CARTOGRAFIA ESCOLAR E INCLUSIVA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE019-17,CENTRAIS TERMOELETRICAS,2-0-0-3,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,TERMODINAMICA APLICADA I,TERMODINAMICA APLICADA II,SISTEMAS TERMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
